id_user,nombre,apellido,dni,fecha_nacimiento,codigo_postal
117,Juan,Ruiz,80158350I,1955-05-05,7494
118,Juan,Ruiz,29586274M,1973-05-07,1197
119,Juan,Santos,50461141I,1982-12-22,8621
120,Carlos,Diaz,94488368E,1955-12-04,6911
121,Pedro,Diaz,67506980J,1985-07-11,1015
122,Pedro,Vega,51476046B,1989-10-24,4045
123,Miguel,Diaz,29006300W,1956-10-31,5547
124,Laura,Lopez,12250988C,1966-12-04,6395
125,Lucia,Fernandez,48217435T,1957-02-03,1211
126,Maria,Diaz,36588532K,1988-01-30,9117
127,Pedro,Hernandez,87400357J,1985-04-19,8390
128,Ana,Diaz,83053426V,1993-02-22,1710
129,Ana,Diaz,25733612Y,1959-10-14,4894
130,Maria,Ruiz,78950572Q,1956-06-02,3689
131,Maria,Perez,35430803Q,1992-12-14,5639
132,Carlos,Gomez,06360505I,1955-11-16,9512
133,Pedro,Morales,99910397E,1975-08-30,3347
134,Laura,Vega,84411787M,1964-05-12,1895
135,Pedro,Lopez,20516358X,1978-10-22,1286
136,Lucia,Ruiz,28373593A,1974-08-25,5259
137,Ana,Fernandez,61976321V,1963-01-30,1067
138,Maria,Ruiz,55620771E,1982-03-18,5198
139,Miguel,Hernandez,96978046N,1972-12-14,9668
140,Carlos,Gomez,68678646I,1957-11-27,8841
141,Maria,Hernandez,06680116R,1976-01-03,2253
142,Ana,Ruiz,15413262L,1975-05-16,9870
143,Laura,Vega,29044899Y,1969-10-02,4697
144,Sofia,Perez,62439319S,1959-08-07,6856
145,Pedro,Hernandez,74684965N,1983-12-18,6696
146,Juan,Hernandez,36363852C,1973-04-17,4181
147,Sofia,Perez,31047818I,1997-06-06,3419
148,Lucia,Santos,10454244R,1980-08-03,9522
149,Miguel,Diaz,47593419L,1952-01-20,3440
150,Lucia,Fernandez,45954102H,1965-08-11,2346
151,Pedro,Perez,96647048W,1952-07-23,1305
152,Lucia,Santos,66836765T,2002-04-15,7536
153,Carlos,Diaz,25999003B,1979-02-01,8502
154,Miguel,Lopez,02075000R,1979-12-29,1179
155,Miguel,Lopez,25006083H,1960-08-14,2263
156,Sofia,Lopez,98328250F,1957-06-08,8445
157,Maria,Diaz,20906735V,1956-12-14,4602
158,Lucia,Hernandez,92437794Z,2003-08-09,5580
159,Laura,Ruiz,01211552E,1985-02-23,7642
160,Sofia,Vega,68157817E,1960-02-04,4844
161,Lucia,Diaz,74394709U,1991-07-05,6520
162,Luis,Lopez,25496785Q,1965-02-08,5767
163,Pedro,Lopez,46717548G,1961-10-12,3827
164,Luis,Fernandez,56899924W,1963-02-15,3963
165,Pedro,Santos,79264106T,2005-05-16,5874
166,Lucia,Diaz,52793194E,2004-06-25,2299
167,Carlos,Lopez,24916095O,1991-11-24,3941
168,Miguel,Ruiz,51886875F,1950-12-13,3078
169,Lucia,Perez,45564502S,1981-08-20,7832
170,Carlos,Lopez,54000590A,1993-07-18,1173
171,Sofia,Lopez,44174534I,2002-11-15,7213
172,Laura,Gomez,95748623U,2003-04-28,4761
173,Miguel,Fernandez,20458626T,1965-01-01,9123
174,Miguel,Ruiz,43008397G,1956-06-15,9847
175,Carlos,Santos,92625296T,1966-03-22,6551
176,Ana,Diaz,02163544N,1970-11-15,7833
177,Miguel,Ruiz,92579226C,1956-05-04,1591
178,Maria,Diaz,95638845C,2004-12-06,1696
179,Lucia,Ruiz,25294613I,1976-06-24,2694
180,Pedro,Perez,75948531X,1965-08-16,2053
181,Luis,Vega,96949192Y,1978-11-11,5310
182,Ana,Hernandez,30420449U,1960-10-26,9674
183,Carlos,Morales,04086771O,2001-11-30,6742
184,Juan,Diaz,24072171P,1987-03-22,7645
185,Carlos,Morales,85546688K,1958-04-23,8588
186,Pedro,Hernandez,23996083V,1954-02-05,9782
187,Luis,Diaz,37881693E,1995-07-01,5574
188,Maria,Fernandez,70498160F,1959-12-06,5020
189,Sofia,Fernandez,04937290P,1974-03-19,1183
190,Sofia,Vega,10687673I,1977-08-28,5779
191,Miguel,Gomez,85896571A,1971-05-07,9737
192,Ana,Diaz,23744278O,1975-11-03,5227
193,Juan,Gomez,74635652I,1999-09-22,1689
194,Sofia,Ruiz,01522081S,1969-04-13,7237
195,Lucia,Vega,40888140S,1952-01-19,1854
196,Maria,Diaz,80676472C,2001-05-11,5972
197,Sofia,Gomez,00238594Z,1988-02-22,8299
198,Maria,Diaz,59636658I,1966-04-04,5762
199,Laura,Fernandez,16249195X,1990-05-28,8660
200,Juan,Diaz,02622039M,1969-08-06,8060
201,Laura,Morales,35634736R,2002-11-29,8830
202,Juan,Hernandez,48916161N,1963-05-24,4001
203,Lucia,Vega,46890408E,1979-11-20,6053
204,Miguel,Lopez,57184093B,1972-02-28,8236
205,Laura,Santos,92437468F,1990-08-31,3369
206,Miguel,Hernandez,80946623L,1996-12-09,9999
207,Maria,Diaz,83527291J,2001-06-19,8097
208,Sofia,Santos,04349198I,1963-12-10,8675
209,Ana,Ruiz,24272968N,1997-12-19,9321
210,Sofia,Gomez,50118268U,1962-03-22,4410
211,Maria,Santos,48380636N,1979-03-30,1464
212,Miguel,Gomez,98069716F,1982-12-14,6194
213,Pedro,Santos,54724564E,1982-01-18,8466
214,Laura,Lopez,31801095W,1977-02-02,7438
215,Sofia,Vega,58879630T,1959-08-21,6027
216,Ana,Gomez,55317393W,1958-12-19,8874
217,Sofia,Morales,94896717W,1988-06-16,3065
218,Carlos,Ruiz,29857984U,2005-11-12,5534
219,Carlos,Gomez,38001475E,1953-10-23,6242
220,Ana,Gomez,66519369O,1950-06-26,4223
221,Pedro,Hernandez,41297099O,1958-06-28,1790
222,Pedro,Vega,92223932U,1963-01-26,1039
223,Juan,Diaz,09028631J,1965-12-30,2322
224,Sofia,Perez,48881293G,1950-10-26,3689
225,Ana,Fernandez,35070710Y,1962-02-20,5324
226,Juan,Perez,78469981F,1977-04-04,6654
227,Maria,Gomez,79341857G,1968-05-25,7309
228,Pedro,Hernandez,41382565C,1977-08-02,1811
229,Miguel,Lopez,57616010G,1992-09-23,7270
230,Pedro,Fernandez,42513004O,1967-10-23,4841
231,Lucia,Hernandez,64540730R,2002-05-16,5632
232,Laura,Ruiz,04419694B,1995-01-18,4948
233,Pedro,Lopez,90999227F,2004-01-04,4771
234,Ana,Hernandez,94314901H,1958-04-04,8385
235,Luis,Gomez,42363420E,1974-07-29,7759
236,Carlos,Morales,57932483M,1972-07-06,3823
237,Maria,Fernandez,84159238G,1956-07-05,2952
238,Sofia,Hernandez,39841329X,1950-10-06,2349
239,Luis,Diaz,82693804S,2002-06-28,8498
240,Juan,Gomez,62576569G,1995-04-17,4985
241,Sofia,Santos,20341290X,1993-12-14,5797
242,Miguel,Santos,03278608Z,1957-04-13,4453
243,Lucia,Ruiz,08839002R,1988-02-09,7166
244,Ana,Fernandez,14590174H,1992-02-06,6152
245,Ana,Fernandez,01931614K,1985-03-02,7621
246,Lucia,Hernandez,56681179I,1973-07-27,5090
247,Maria,Santos,55187909I,1987-02-09,4582
248,Laura,Hernandez,16913496H,1972-02-08,1162
249,Lucia,Perez,75359830K,2003-03-02,4494
250,Sofia,Perez,42667378U,1992-08-11,8173
251,Juan,Ruiz,41201221E,1976-08-22,5382
252,Miguel,Gomez,33098772N,1968-07-25,2462
253,Miguel,Hernandez,83888340N,2000-05-10,6865
254,Pedro,Perez,80266317P,1988-11-09,4662
255,Ana,Perez,88570614N,1955-09-22,6238
256,Miguel,Perez,94434578J,1999-05-01,5314
257,Juan,Santos,39303880L,1956-06-18,6804
258,Sofia,Ruiz,79306081X,1968-11-28,5725
259,Lucia,Hernandez,97482615S,1983-06-02,6860
260,Pedro,Diaz,86142875B,1999-12-17,4917
261,Lucia,Morales,22785701Y,1964-06-28,4068
262,Ana,Fernandez,31351945O,1967-09-29,7115
263,Sofia,Morales,42684908S,1950-07-24,5755
264,Ana,Perez,64559595L,1983-10-31,9972
265,Carlos,Perez,88463538Y,2004-05-10,1430
266,Juan,Diaz,03405608C,1976-02-27,6930
267,Maria,Santos,53295379B,1951-08-19,8298
268,Luis,Morales,66983090L,1952-12-20,2497
269,Pedro,Lopez,03110320E,1990-04-06,8246
270,Miguel,Diaz,35415414B,1997-07-13,2172
271,Juan,Perez,88710480Y,1996-01-22,1025
272,Maria,Lopez,57098980S,1987-09-11,6451
273,Lucia,Gomez,65791020Y,1957-02-03,5475
274,Lucia,Fernandez,90094821N,2001-09-21,3111
275,Lucia,Ruiz,46086978G,1981-09-22,9703
276,Sofia,Vega,98307648M,1960-03-07,7600
277,Carlos,Santos,55752822F,1989-08-29,3035
278,Luis,Ruiz,91128591N,1953-04-22,3206
279,Juan,Diaz,59442069R,1952-09-03,3082
280,Luis,Hernandez,01016757D,1951-03-12,5103
281,Carlos,Diaz,40499130I,2003-03-30,8609
282,Sofia,Fernandez,63799705Z,1973-04-22,2674
283,Lucia,Hernandez,34874309A,1968-12-13,1344
284,Maria,Hernandez,84654401A,1972-12-06,4542
285,Ana,Fernandez,33557364X,1972-02-03,1208
286,Luis,Diaz,23769998M,1992-05-17,3898
287,Lucia,Hernandez,08990613L,1966-03-08,1732
288,Pedro,Hernandez,54223374Z,1968-07-30,3340
289,Lucia,Santos,91760296Z,1951-09-18,8282
290,Pedro,Lopez,10506633Y,1994-08-20,4078
291,Laura,Santos,14113678H,1951-02-05,2558
292,Lucia,Santos,61674822M,1975-12-08,3724
293,Ana,Lopez,67608021T,1976-12-16,5302
294,Miguel,Perez,25527452N,1975-05-13,8068
295,Pedro,Gomez,37683315A,1950-05-31,8426
296,Laura,Vega,78581538K,2003-01-28,3391
297,Carlos,Perez,85700218V,2001-10-01,9368
298,Maria,Diaz,33950660Z,1960-08-23,8450
299,Sofia,Morales,26349977J,1980-09-30,5983
300,Laura,Santos,92148514C,2004-02-23,9445
301,Miguel,Morales,95612969F,2004-04-17,9168
302,Pedro,Vega,50227292Q,2001-09-22,5660
303,Sofia,Diaz,80691032R,1969-02-13,7996
304,Luis,Ruiz,44978504C,1951-06-02,3151
305,Ana,Lopez,49106878G,1969-09-13,8175
306,Carlos,Santos,09381045Z,1998-09-11,3400
307,Lucia,Ruiz,59504713C,1961-05-24,4008
308,Laura,Hernandez,10712495R,1973-12-29,5359
309,Carlos,Gomez,61673286I,1968-12-10,9836
310,Sofia,Morales,65513418I,1971-01-29,7499
311,Lucia,Fernandez,47015944C,1959-09-20,6963
312,Luis,Fernandez,71386190I,2002-04-20,8115
313,Lucia,Santos,30791735Q,1953-03-24,7724
314,Laura,Perez,69785702T,1999-10-09,9382
315,Carlos,Ruiz,42355275W,1974-10-21,9998
316,Lucia,Perez,35899650K,1989-03-05,5744
317,Sofia,Lopez,03120411G,1971-03-15,9339
318,Laura,Vega,82640526J,1995-10-23,9722
319,Sofia,Diaz,89948321C,1954-07-25,9244
320,Ana,Diaz,06776328A,1998-08-11,6558
321,Miguel,Fernandez,03142010I,1994-09-14,6349
322,Miguel,Gomez,48212345I,1990-09-14,7245
323,Juan,Gomez,33999120H,1973-03-08,5407
324,Carlos,Hernandez,67905916Z,1959-02-27,8627
325,Juan,Diaz,53813659I,1954-02-11,9955
326,Ana,Santos,59277586G,1970-11-24,7722
327,Carlos,Perez,90147584E,1960-10-06,9367
328,Lucia,Diaz,93086660N,1968-04-29,8766
329,Maria,Perez,25669032V,1950-09-21,4805
330,Carlos,Hernandez,26155205Z,1979-10-21,5962
331,Carlos,Morales,28756001N,1994-02-06,7401
332,Pedro,Santos,38996379L,1962-04-11,2707
333,Sofia,Ruiz,21082579M,1998-03-17,4886
334,Carlos,Perez,07074544O,1999-09-22,9062
335,Lucia,Diaz,44647464G,1976-02-28,6468
336,Laura,Diaz,23072364K,1987-09-27,5268
337,Laura,Santos,93543576H,1982-09-30,8548
338,Maria,Fernandez,76919326L,1985-11-18,8612
339,Juan,Gomez,41817692Z,2005-05-02,7784
340,Lucia,Santos,32040160Z,1980-06-08,8472
341,Luis,Morales,80469589G,1988-10-31,9108
342,Lucia,Lopez,86365440D,1995-08-13,4377
343,Pedro,Fernandez,59178026J,1960-01-03,1391
344,Ana,Vega,61837402U,1987-06-04,1906
345,Ana,Hernandez,38286414Q,1966-06-14,7175
346,Pedro,Morales,43049225K,1985-01-17,9240
347,Lucia,Ruiz,97306720E,1952-06-21,9219
348,Miguel,Fernandez,60878200A,1951-01-07,3255
349,Carlos,Hernandez,85268993X,1981-01-16,6825
350,Maria,Vega,25970489X,1987-08-13,4944
351,Lucia,Perez,68379986T,1975-01-27,7086
352,Pedro,Hernandez,81941158Z,1999-07-27,7790
353,Lucia,Vega,68299133J,1968-10-20,5840
354,Luis,Vega,09678317M,1982-07-18,5683
355,Carlos,Perez,75394769K,1961-04-12,5766
356,Maria,Fernandez,04097839E,1960-04-11,5567
357,Juan,Hernandez,96161931P,1981-08-21,8823
358,Juan,Fernandez,69861732P,1971-01-24,3687
359,Luis,Lopez,77574418J,2003-10-27,6397
360,Luis,Fernandez,80327895R,1991-10-09,8583
361,Pedro,Morales,24482917T,1966-09-15,9963
362,Maria,Morales,83119722A,1976-03-31,9512
363,Miguel,Diaz,35240836W,1987-07-17,2099
364,Luis,Fernandez,35224690O,1970-09-09,1390
365,Juan,Vega,98812713J,1951-10-16,4710
366,Maria,Morales,17700589I,1979-01-10,8127
367,Juan,Vega,57537281F,1977-05-01,4751
368,Ana,Santos,79073875P,1990-09-29,1625
369,Ana,Santos,28485504I,1950-12-22,2916
370,Maria,Vega,16100362R,1952-01-16,8704
371,Luis,Hernandez,73919800X,1956-09-05,4112
372,Miguel,Perez,96386237E,1953-07-08,1869
373,Ana,Morales,98677797O,1978-02-12,3158
374,Juan,Santos,75828644J,1950-07-21,8200
375,Carlos,Gomez,45849743W,1986-12-09,3033
376,Lucia,Gomez,70514959V,1969-09-09,1545
377,Juan,Morales,96721655K,1965-05-02,8728
378,Carlos,Morales,40174825N,1953-10-08,2062
379,Pedro,Lopez,05932079K,1953-10-14,1693
380,Ana,Fernandez,26673876F,1984-08-05,8299
381,Laura,Diaz,57771221A,1997-02-07,1982
382,Lucia,Diaz,97359733A,2004-09-18,2762
383,Lucia,Vega,11428779J,1979-06-24,8791
384,Carlos,Morales,79021782D,1990-02-01,4653
385,Maria,Lopez,10245165H,2002-05-28,6107
386,Miguel,Hernandez,89803624B,1999-07-08,8914
387,Maria,Ruiz,21226517H,1991-08-12,3396
388,Sofia,Lopez,10079161D,1951-02-28,8916
389,Juan,Morales,41152665K,1971-11-29,3786
390,Pedro,Vega,71098821N,1993-12-13,3874
391,Sofia,Santos,85565916N,1976-11-13,9541
392,Sofia,Santos,53872440M,1990-06-24,5599
393,Laura,Hernandez,24278791L,1995-02-14,6830
394,Carlos,Gomez,92750853D,1966-04-22,4853
395,Maria,Diaz,93018826F,1956-03-01,6592
396,Miguel,Vega,80391136L,1970-10-09,7507
397,Maria,Gomez,31356176F,1976-01-13,9093
398,Sofia,Diaz,09732803L,2001-07-01,4982
399,Maria,Hernandez,45544583Q,1984-06-04,5853
400,Lucia,Ruiz,29582430N,1991-01-07,8174
401,Carlos,Perez,95817406H,1964-12-19,7826
402,Sofia,Diaz,55056754X,1993-05-09,8486
403,Juan,Fernandez,52800320Q,2003-03-21,2543
404,Miguel,Diaz,07535547C,1993-08-17,9654
405,Lucia,Vega,51412591L,1990-05-21,5517
406,Maria,Diaz,96213952H,2003-06-10,7824
407,Miguel,Morales,13572630H,1981-08-29,9297
408,Carlos,Hernandez,55771608C,1997-06-22,3895
409,Lucia,Lopez,74113858T,1958-04-08,5344
410,Sofia,Perez,35390070Q,1950-07-14,6054
411,Maria,Gomez,49387420V,1985-11-28,1963
412,Laura,Vega,91019587L,1980-04-21,9413
413,Luis,Lopez,74812376A,1961-04-30,8201
414,Miguel,Vega,26672971K,1989-10-05,4547
415,Carlos,Ruiz,27179401E,2000-02-04,6703
416,Carlos,Santos,32763450J,1984-12-13,8497
417,Pedro,Gomez,22164416U,1988-07-04,5580
418,Lucia,Lopez,16412117W,1954-04-07,4202
419,Laura,Fernandez,16620193J,1969-08-18,6657
420,Miguel,Vega,09544537G,1959-04-06,8271
421,Ana,Fernandez,36541529Q,1985-07-21,4886
422,Juan,Morales,11323886G,1968-01-18,8390
423,Maria,Vega,90953719K,1965-09-03,8530
424,Laura,Perez,23609411E,1982-11-16,5856
425,Lucia,Diaz,83879677L,2004-06-06,1947
426,Pedro,Fernandez,72657336B,1985-11-28,3716
427,Juan,Vega,34431125T,1974-12-12,2533
428,Maria,Hernandez,66175213Q,1997-03-25,5895
429,Ana,Gomez,45956577S,1958-10-08,7380
430,Maria,Hernandez,43870130T,1989-04-02,5062
431,Pedro,Gomez,67411234Y,1955-05-08,6190
432,Maria,Santos,85017366E,1983-04-20,2556
433,Juan,Gomez,71334718A,1975-10-20,4528
434,Sofia,Santos,10391389F,1969-06-28,2537
435,Lucia,Vega,59350013Y,1984-08-01,5760
436,Juan,Vega,53672398D,1996-03-09,8828
437,Pedro,Hernandez,94847917Z,1997-10-05,4169
438,Laura,Perez,69055023D,1988-03-10,8788
439,Miguel,Hernandez,83343712Z,1959-06-13,3453
440,Pedro,Perez,10894545M,1975-07-21,7486
441,Laura,Vega,43269253T,1961-11-20,4758
442,Laura,Lopez,48653770T,1981-10-03,7904
443,Lucia,Ruiz,22245758M,1958-04-15,8328
444,Lucia,Ruiz,67673397B,1966-09-09,2411
445,Carlos,Fernandez,29848761P,1989-04-06,5787
446,Ana,Diaz,40569219K,1964-08-06,5497
447,Maria,Morales,22052743E,1954-02-07,1999
448,Miguel,Santos,87141294Q,1991-03-04,7147
449,Lucia,Morales,23755704Y,1957-08-02,4648
450,Pedro,Santos,63250344I,2003-06-02,7195
451,Lucia,Lopez,00583744R,1969-05-11,8859
452,Lucia,Diaz,33968130I,1985-09-01,6052
453,Miguel,Hernandez,87156397Q,1988-01-15,4532
454,Laura,Morales,89256927U,1951-08-09,4535
455,Ana,Morales,55574739H,1973-01-11,4393
456,Juan,Fernandez,54426175H,1988-06-03,7540
457,Sofia,Santos,31894324K,1986-01-24,3567
458,Carlos,Fernandez,98457746M,1980-03-09,3718
459,Maria,Santos,58790396W,1961-06-16,3756
460,Ana,Fernandez,15459054J,1999-08-10,4262
461,Miguel,Lopez,26942199L,1987-02-25,7946
462,Lucia,Santos,09648800Z,1997-02-19,3179
463,Maria,Vega,53195683Z,1965-11-25,5373
464,Carlos,Morales,43028385R,1990-04-26,3811
465,Juan,Diaz,54364426U,1989-01-07,9397
466,Ana,Perez,09521431A,1980-08-03,9013
467,Luis,Vega,49750296X,1961-08-17,4063
468,Maria,Perez,81875201S,1950-05-09,1270
469,Luis,Hernandez,20191551V,1956-01-04,7447
470,Sofia,Lopez,60485265Y,1981-12-16,2221
471,Laura,Santos,94310134E,1983-03-04,2648
472,Maria,Fernandez,69784410O,1970-05-06,7724
473,Laura,Hernandez,78160744W,1954-10-18,1895
474,Laura,Morales,09347726O,2005-03-06,9921
475,Laura,Hernandez,82157736P,1978-05-06,3896
476,Maria,Hernandez,92981309U,1954-05-20,5904
477,Laura,Perez,18638185P,2002-05-18,9038
478,Juan,Morales,90858507I,1990-04-30,3453
479,Luis,Gomez,48632408K,1975-12-20,3647
480,Pedro,Morales,68188521X,1966-10-12,7202
481,Ana,Perez,85310230J,1952-04-10,2706
482,Juan,Fernandez,17771869R,1961-03-18,9103
483,Maria,Lopez,43021130B,1990-05-01,1945
484,Sofia,Fernandez,93873573Q,1963-09-01,9926
485,Maria,Gomez,67679534B,1996-03-22,7714
486,Miguel,Diaz,44583799N,1970-06-11,1388
487,Ana,Hernandez,19250726F,1990-01-30,8281
488,Miguel,Gomez,32394265S,1989-04-18,3248
489,Maria,Perez,56001207X,1977-01-24,1760
490,Maria,Lopez,14143438O,1971-02-12,1662
491,Lucia,Lopez,30573887E,1958-01-24,8730
492,Sofia,Ruiz,97752568G,1965-07-01,2696
493,Luis,Gomez,85550417V,2002-04-28,2919
494,Ana,Fernandez,64982352U,2003-12-31,8395
495,Ana,Hernandez,78295319O,1962-08-31,1598
496,Maria,Gomez,91709339J,1989-12-07,7119
497,Carlos,Vega,35402869V,1988-04-04,2007
498,Maria,Diaz,54750240F,1969-06-16,6758
499,Juan,Fernandez,59630344B,1971-01-01,1307
500,Juan,Vega,89065949V,1980-05-25,2499
501,Sofia,Lopez,82916757X,1978-05-23,5592
502,Sofia,Gomez,52832916H,1950-11-27,9131
503,Ana,Morales,37399193L,1977-02-23,9912
504,Luis,Lopez,76102695M,1955-03-14,6696
505,Ana,Perez,27693939T,1968-04-22,6792
506,Miguel,Gomez,03794583J,2005-09-30,4773
507,Lucia,Fernandez,51290630P,1997-12-12,7848
508,Pedro,Ruiz,98277093T,1997-11-22,5056
509,Luis,Morales,46386014L,1966-09-21,1777
510,Carlos,Gomez,94481131I,1969-03-02,3672
511,Luis,Perez,28813079E,1973-11-19,9011
512,Miguel,Diaz,83590925G,1957-09-15,4525
513,Luis,Diaz,01096574H,1959-04-15,4774
514,Juan,Morales,70942686L,1955-11-10,4535
515,Maria,Morales,85897453P,1954-06-30,3821
516,Maria,Gomez,30429875H,1964-01-31,1326
517,Miguel,Diaz,27549689C,1970-11-22,6525
518,Laura,Gomez,74365675T,1982-08-03,8725
519,Carlos,Morales,24362494Z,1957-09-25,9248
520,Laura,Vega,57792245B,1993-01-28,6085
521,Ana,Perez,20805130O,1965-06-08,7565
522,Juan,Lopez,31087665H,1987-02-25,8035
523,Ana,Diaz,33857683I,1999-11-14,7138
524,Juan,Morales,65992869W,1965-01-25,9403
